,Average interarrival time,Average service time teller1,Average service time teller 2,People who had to wait in line,Total average wait time,Lost Customers
0,2.417984018931017,1.4936862590753357,1.441046238242298,10.0,8.304483582633523,0.0
1,2.9529021928467514,1.0518941048902668,1.4063547226270787,10.0,3.6559433236546823,0.0
2,2.654084516495696,1.0399009853467414,1.6730678273575128,10.0,4.056921862906321,0.0
3,2.394072931098634,1.0766912070276362,1.2952043966965285,10.0,8.49062670711465,0.0
4,2.8394568128595674,0.973413758375442,1.3914530119058888,10.0,3.9335982563539034,0.0
5,3.5064433766187477,1.238427036196543,1.7728153051619842,10.0,6.432325734080763,0.0
6,3.3295423998858764,1.0740971004954216,1.4300512283818076,10.0,10.161674958702804,0.0
7,2.822112328122385,1.2972798146632893,1.6087942513979447,10.0,7.216454099797925,0.0
8,2.417551192738015,1.1722011853414398,1.5807262718779265,10.0,8.673395973986676,0.0
9,3.2797213523488664,1.2137401583562755,1.3475964885432243,10.0,5.977114102017367,0.0
