,Average interarrival time,Average service time teller1,Average service time teller 2,People who had to wait in line,Total average wait time,Lost Customers
0,3.571558146563239,5.640962512986527,6.076756687245418,9.0,65.44535033180424,0.0
1,0.8181747832225325,6.452573920302551,7.707294220706749,23.0,316.55824557923586,26.0
2,1.2934561851773354,4.5838635607586795,31.446281623989343,16.0,153.053281106211,13.0
3,2.0656110968679053,25.549983144211513,12.571068997131883,10.0,185.27151179418277,9.0
4,5.667050600044436,5.470446794901561,6.867005810104995,3.0,7.1537120546295085,0.0
5,2.0904597830216,8.767635985656526,33.60310720788532,11.0,124.3884570405807,6.0
6,4.5900483841671,3.8413444958274834,8.511599122942233,5.0,13.463260095763808,0.0
7,3.880874795775028,7.192791898796134,5.424007816955449,1.0,3.000768166095721,0.0
8,3.0891479232489023,6.059683175416482,7.328968296950653,11.0,41.28559261357013,0.0
9,3.6296771489506927,12.033326532712717,31.863015230415257,10.0,125.03989646886576,1.0
